MeterNo,the_geom,MeterType,LONG,LAT,Status
3823002,POINT (-73.95850140067549 40.61875479976157),Strada,-73.9585014,40.6187548,Active
4863002,POINT (-73.73554807016752 40.666321350432206),Strada,-73.73554807,40.66632135,Active
2083024,POINT (-73.86081624717784 40.88741811979292),Strada,-73.86081625,40.88741812,Active
2083055,POINT (-73.85554634236613 40.896499300042436),Strada,-73.85554634,40.8964993,Active
2243030,POINT (-73.91181045161558 40.88604818465867),Strada,-73.91181045,40.88604818,Active
3713001,POINT (-74.00279722822819 40.607830570556224),Strada,-74.00279723,40.60783057,Active
2013123,POINT (-73.88226698405431 40.85817812970366),Strada,-73.88226698,40.85817813,Active
4361763,POINT (-73.8888595561806 40.70132085089739),Strada,-73.88885956,40.70132085,Active
4063067,POINT (-73.83363330419449 40.75931486118866),Strada,-73.8336333,40.75931486,Inactive
1473129,POINT (-73.98951825332796 40.730866639601516),Strada,-73.98951825,40.73086664,Inactive
1273002,POINT (-73.96082495130267 40.77795051376464),Strada,-73.96082495,40.77795051,Active
1273032,POINT (-73.95678163832129 40.78379072260563),Strada,-73.95678164,40.78379072,Active
3053044,POINT (-73.96016690709655 40.60843311494597),Strada,-73.96016691,40.60843311,Active
3073072,POINT (-73.99725645935422 40.603893971636374),Strada,-73.99725646,40.60389397,Active
1113028,POINT (-74.00917586990916 40.717106835723314),Strada,-74.00917587,40.71710684,Active
5023016,POINT (-74.07665266883117 40.64063045968832),Strada,-74.07665267,40.64063046,Active
4361748,POINT (-73.88463841540559 40.70157924292695),Strada,-73.88463842,40.70157924,Active
1039006,POINT (-73.97813092650759 40.77814660294484),Strada,-73.97813093,40.7781466,Retired
3083055,POINT (-73.96580971249827 40.57676625318144),Strada,-73.96580971,40.57676625,Active
4053097,POINT (-73.84144253398549 40.72015848084056),Strada,-73.84144253,40.72015848,Active
3071379,POINT (-74.00660407974623 40.60407426842865),Strada,-74.00660408,40.60407427,Active
4233122,POINT (-73.92019215964353 40.77056929738992),Strada,-73.92019216,40.7705693,Active
3773005,POINT (-73.86510699630281 40.67754387160975),Strada,-73.865107,40.67754387,Active
3083046,POINT (-73.96207341652278 40.57756889116145),Strada,-73.96207342,40.57756889,Active
1143042,POINT (-73.99918715164166 40.7339456892701),Strada,-73.99918715,40.73394569,Active
4473112,POINT (-73.71765843702964 40.74438001002725),Strada,-73.71765844,40.74438001,Active
4473120,POINT (-73.70241259150272 40.7519650357775),Strada,-73.70241259,40.75196504,Active
4053053,POINT (-73.8477076870932 40.722491068128924),Strada,-73.84770769,40.72249107,Active
4803003,POINT (-73.9103733280746 40.77513214000257),Strada,-73.91037333,40.77513214,Active
1443808,POINT (-73.99310842994801 40.75109158264256),Strada,-73.99310843,40.75109158,Active
3623011,POINT (-73.86126894423282 40.67998964148497),Strada,-73.86126894,40.67998964,Inactive
1058388,POINT (-73.93705181754189 40.85049305784043),Strada,-73.93705182,40.85049306,Active
4093101,POINT (-73.9064960335702 40.70004040024419),Strada,-73.90649603,40.7000404,Active
4483144,POINT (-73.77415689466423 40.67150856291319),Strada,-73.77415689,40.67150856,Active
5023010,POINT (-74.07604338483189 40.63722593804592),Strada,-74.07604338,40.63722594,Active
4093005,POINT (-73.90569464516888 40.699564904303024),Strada,-73.90569465,40.6995649,Active
3283057,POINT (-73.95785653785691 40.710761984555155),Strada,-73.95785654,40.71076198,Active
3071407,POINT (-73.9966889471194 40.59337464575467),Strada,-73.99668895,40.59337465,Inactive
4073026,POINT (-73.9120971474111 40.76733434209412),Strada,-73.91209715,40.76733434,Active
4123031,POINT (-73.88487320231488 40.74974564716786),Strada,-73.8848732,40.74974565,Active
4123071,POINT (-73.88959299720376 40.74913897151744),Strada,-73.889593,40.74913897,Active
4063098,POINT (-73.82951004860624 40.761729864703284),Strada,-73.82951005,40.76172986,Active
4063130,POINT (-73.82650138520216 40.75217964126216),Strada,-73.82650139,40.75217964,Active
4023104,POINT (-73.83111678979428 40.70590661264152),Strada,-73.83111679,40.70590661,Active
4053056,POINT (-73.84560022305034 40.72189552881942),Strada,-73.84560022,40.72189553,Active
4063024,POINT (-73.83325266723793 40.76331834108271),Strada,-73.83325267,40.76331834,Active
2753003,POINT (-73.86795999533787 40.8532174680611),Strada,-73.86796,40.85321747,Active
3863009,POINT (-73.90212557784625 40.64681429719198),Strada,-73.90212558,40.6468143,Active
3083061,POINT (-73.96073827649403 40.57805226189908),Strada,-73.96073828,40.57805226,Active
4333134,POINT (-73.73518443200706 40.77146601139997),Strada,-73.73518443,40.77146601,Active
3713003,POINT (-74.0028789530109 40.60809056352138),Strada,-74.00287895,40.60809056,Active
1443318,POINT (-73.98534110498017 40.75333639665878),Strada,-73.98534111,40.7533364,Active
4053105,POINT (-73.84774711431922 40.72130162918683),Strada,-73.84774711,40.72130163,Active
3343065,POINT (-73.95364277016192 40.58729653486167),Strada,-73.95364277,40.58729653,Active
4053009,POINT (-73.84318527967955 40.72042199523397),Strada,-73.84318528,40.720422,Active
4053012,POINT (-73.84534834302133 40.72130899687236),Strada,-73.84534834,40.721309,Active
4053007,POINT (-73.84712001017775 40.72208395360777),Strada,-73.84712001,40.72208395,Active
4053024,POINT (-73.84969778443396 40.721901108441415),Strada,-73.84969778,40.72190111,Active
4053029,POINT (-73.84614535085646 40.72060005858523),Strada,-73.84614535,40.72060006,Active
4053096,POINT (-73.84348580944531 40.721062259611244),Strada,-73.84348581,40.72106226,Active
4013102,POINT (-73.9225831222663 40.74070266707546),Strada,-73.92258312,40.74070267,Active
4033004,POINT (-73.81090206994865 40.702218155891664),Strada,-73.81090207,40.70221816,Active
4033002,POINT (-73.80909479668212 40.70217567511381),Strada,-73.8090948,40.70217568,Active
4033007,POINT (-73.80929576168533 40.701820624913964),Strada,-73.80929576,40.70182062,Active
4033024,POINT (-73.80589466783697 40.70176513662074),Strada,-73.80589467,40.70176514,Active
4072165,POINT (-73.92268323213506 40.755338524443),Strada,-73.92268323,40.75533852,Active
4072185,POINT (-73.91983196621894 40.756670378144484),Strada,-73.91983197,40.75667038,Active
4072180,POINT (-73.92051224972035 40.75645193667999),Strada,-73.92051225,40.75645194,Inactive
4072219,POINT (-73.91433718891328 40.756487576429166),Strada,-73.91433719,40.75648758,Active
4072233,POINT (-73.91830863448436 40.761831007077035),Strada,-73.91830863,40.76183101,Active
4013005,POINT (-73.91749781025295 40.74656774083484),Strada,-73.91749781,40.74656774,Active
4013003,POINT (-73.9147734672913 40.74613277456073),Strada,-73.91477347,40.74613277,Active
4013001,POINT (-73.91302867837557 40.7460507893594),Strada,-73.91302868,40.74605079,Active
4013010,POINT (-73.9191138844471 40.74344666725406),Strada,-73.91911388,40.74344667,Active
4013019,POINT (-73.92688973673238 40.74462417373978),Strada,-73.92688974,40.74462417,Inactive
4101293,POINT (-73.83734453905234 40.58214373341854),Strada,-73.83734454,40.58214373,Active
4101303,POINT (-73.8491211519608 40.57803929017685),Strada,-73.84912115,40.57803929,Active
4103005,POINT (-73.83696121222044 40.579395191576424),Strada,-73.83696121,40.57939519,Active
4113124,POINT (-73.75383938110552 40.600035187922266),Strada,-73.75383938,40.60003519,Active
4122296,POINT (-73.88704193192663 40.74724525958673),Strada,-73.88704193,40.74724526,Active
4033030,POINT (-73.80667468333209 40.698567866874356),Strada,-73.80667468,40.69856787,Active
4033057,POINT (-73.79185947092724 40.70212123501798),Strada,-73.79185947,40.70212124,Active
4033052,POINT (-73.80202126409826 40.702427122448455),Strada,-73.80202126,40.70242712,Retired
4033066,POINT (-73.78310217208946 40.7080561421314),Strada,-73.78310217,40.70805614,Active
4033069,POINT (-73.78626038983178 40.70803117285258),Strada,-73.78626039,40.70803117,Active
4043001,POINT (-73.83900495223578 40.71897019809142),Strada,-73.83900495,40.7189702,Active
4043042,POINT (-73.83828507253003 40.719196437725856),Strada,-73.83828507,40.71919644,Active
4043049,POINT (-73.83695348398741 40.71903723760662),Strada,-73.83695348,40.71903724,Active
4013043,POINT (-73.92611981518787 40.74458064090719),Strada,-73.92611982,40.74458064,Active
4013042,POINT (-73.92424714689575 40.744170912129555),Strada,-73.92424715,40.74417091,Active
4013060,POINT (-73.91814156820091 40.74146999616251),Strada,-73.91814157,40.74147,Active
4013074,POINT (-73.91975686167494 40.74287140924778),Strada,-73.91975686,40.74287141,Active
4013073,POINT (-73.91990260233179 40.74216037647731),Strada,-73.9199026,40.74216038,Active
4013089,POINT (-73.92813976600456 40.74367432849982),Strada,-73.92813977,40.74367433,Active
4013105,POINT (-73.92253295883071 40.74059769450203),Strada,-73.92253296,40.74059769,Active
4013104,POINT (-73.923527422991 40.74015736437642),Strada,-73.92352742,40.74015736,Active
4061150,POINT (-73.81792766002181 40.74961302200829),Strada,-73.81792766,40.74961302,Active
4061158,POINT (-73.82275831819506 40.75765931446406),Strada,-73.82275832,40.75765931,Inactive
4061161,POINT (-73.8150629582592 40.762349774935885),Strada,-73.81506296,40.76234977,Active
4061160,POINT (-73.81498810610717 40.76224713480506),Strada,-73.81498811,40.76224713,Active
4072231,POINT (-73.91804994552363 40.758865416230044),Strada,-73.91804995,40.75886542,Active
4072275,POINT (-73.91729111254232 40.76521524272195),Strada,-73.91729111,40.76521524,Inactive
4081821,POINT (-73.81381910077899 40.7044731942372),Strada,-73.8138191,40.70447319,Active
4081881,POINT (-73.78891374052708 40.71228934024513),Strada,-73.78891374,40.71228934,Active
4151991,POINT (-73.93624228637192 40.7432010296167),Strada,-73.93624229,40.74320103,Retired
4152043,POINT (-73.94210851406328 40.746546385757824),Strada,-73.94210851,40.74654639,Active
4152105,POINT (-73.94390750339221 40.74984053943628),Strada,-73.9439075,40.74984054,Active
4152111,POINT (-73.95443982786271 40.74138569237729),Strada,-73.95443983,40.74138569,Active
4152144,POINT (-73.95682102055693 40.74583382068431),Strada,-73.95682102,40.74583382,Active
4152142,POINT (-73.95568248464949 40.74560087291404),Strada,-73.95568248,40.74560087,Active
4152683,POINT (-73.93205559977157 40.74306818297322),Strada,-73.9320556,40.74306818,Active
4122315,POINT (-73.87908483087314 40.74808176673697),Strada,-73.87908483,40.74808177,Active
4122344,POINT (-73.8864688854781 40.747429158736544),Strada,-73.88646889,40.74742916,Active
4122390,POINT (-73.88397494681925 40.74824978825841),Strada,-73.88397495,40.74824979,Active
4122388,POINT (-73.88417293677567 40.749341015585884),Strada,-73.88417294,40.74934102,Active
4122425,POINT (-73.893569546982 40.746791097519846),Strada,-73.89356955,40.7467911,Active
4122434,POINT (-73.89168294295014 40.74717415873988),Strada,-73.89168294,40.74717416,Retired
4483101,POINT (-73.77070359903193 40.658749460498115),Strada,-73.7707036,40.65874946,Active
4483118,POINT (-73.80767319880434 40.67482105161537),Strada,-73.8076732,40.67482105,Active
4383126,POINT (-73.81198009391466 40.78763847389117),Strada,-73.81198009,40.78763847,Active
4433045,POINT (-73.78112767514914 40.72892365535271),Strada,-73.78112768,40.72892366,Active
4433052,POINT (-73.80655837425826 40.720648498907245),Strada,-73.80655837,40.7206485,Active
4433063,POINT (-73.8141622497116 40.71859931617237),Strada,-73.81416225,40.71859932,Active
4343152,POINT (-73.90414004804389 40.75348901899543),Strada,-73.90414005,40.75348902,Active
4493138,POINT (-73.87991526441056 40.72475633424849),Strada,-73.87991526,40.72475633,Inactive
1443030,POINT (-73.99226497524377 40.75492114249397),Strada,-73.99226498,40.75492114,Active
3383066,POINT (-73.90193618495341 40.64487784906832),Strada,-73.90193619,40.64487785,Active
3393001,POINT (-73.94258077593467 40.664571848523344),Strada,-73.94258078,40.66457185,Active
3473011,POINT (-73.95481163801406 40.73410539480758),Strada,-73.95481164,40.73410539,Active
1443189,POINT (-73.99133630313052 40.75211724530976),Strada,-73.9913363,40.75211725,Active
5053283,POINT (-74.11823362461617 40.57309889320188),Strada,-74.11823362,40.57309889,Active
3393015,POINT (-73.94220700697893 40.669938704703554),Strada,-73.94220701,40.6699387,Active
3393022,POINT (-73.9399719014953 40.66415262587407),Strada,-73.9399719,40.66415263,Active
1443188,POINT (-73.99070272082582 40.75185244993453),Strada,-73.99070272,40.75185245,Active
3513010,POINT (-73.98541676444587 40.616854979099124),Strada,-73.98541676,40.61685498,Active
4963002,POINT (-73.84599786572828 40.7857252678798),Strada,-73.84599787,40.78572527,Active
3513006,POINT (-73.9896521909779 40.612788393153004),Strada,-73.98965219,40.61278839,Active
3071408,POINT (-73.99634764662221 40.59308728937424),Strada,-73.99634765,40.59308729,Inactive
3149846,POINT (-73.9902145337376 40.66510779793892),Strada,-73.99021453,40.6651078,Active
3013596,POINT (-73.98415386423119 40.687856136722026),Strada,-73.98415386,40.68785614,Retired
5053284,POINT (-74.11863660936682 40.5728089993482),Strada,-74.11863661,40.572809,Active
3723002,POINT (-73.96325565750945 40.575271562262245),Strada,-73.96325566,40.57527156,Active
1443183,POINT (-73.98567087953461 40.74982317430617),Strada,-73.98567088,40.74982317,Active
3823003,POINT (-73.95883124762554 40.61872404761239),Strada,-73.95883125,40.61872405,Active
4953001,POINT (-73.92553580567593 40.76111939958857),Strada,-73.92553581,40.7611194,Active
3073092,POINT (-74.00107815119391 40.59496328442831),Strada,-74.00107815,40.59496328,Inactive
4053051,POINT (-73.84568215171227 40.721774658622245),Strada,-73.84568215,40.72177466,Active
3343067,POINT (-73.95362184958861 40.5871978614625),Strada,-73.95362185,40.58719786,Active
2213022,POINT (-73.92843072005657 40.80734592968907),Strada,-73.92843072,40.80734593,Active
3013015,POINT (-73.98190090718933 40.68569734985654),Strada,-73.98190091,40.68569735,Active
3033040,POINT (-73.90650351774879 40.66870448594474),Strada,-73.90650352,40.66870449,Active
3013002,POINT (-73.99566240727866 40.6905137890574),Strada,-73.99566241,40.69051379,Active
3063025,POINT (-73.96599031958287 40.58463407863206),Strada,-73.96599032,40.58463408,Active
3013029,POINT (-73.98640298777991 40.687634474889755),Strada,-73.98640299,40.68763447,Active
3033047,POINT (-73.91087033686463 40.670454552218374),Strada,-73.91087034,40.67045455,Active
3013612,POINT (-73.99118366931297 40.69087478385101),Strada,-73.99118367,40.69087478,Inactive
3013037,POINT (-73.9966822005951 40.69097302614677),Strada,-73.9966822,40.69097303,Active
3393002,POINT (-73.94273101742834 40.66437681127155),Strada,-73.94273102,40.66437681,Active
5053308,POINT (-74.09202043804099 40.58680767481851),Strada,-74.09202044,40.58680767,Retired
3393004,POINT (-73.94264466712274 40.66530001255018),Strada,-73.94264467,40.66530001,Active
